human,machine
7 july 1991,1991-07-07
19 december 2001,2001-12-19
friday june 21 2002,2002-06-21
january 22 1991,1991-01-22
monday september 28 1987,1987-09-28
tuesday march 28 2006,2006-03-28
18 jan 2009,2009-01-18
22.01.75,1975-01-22
14 feb 1977,1977-02-14
22 nov 1984,1984-11-22
wednesday september 12 2001,2001-09-12
thursday february 18 2010,2010-02-18
10/4/18,2018-10-04
20 02 79,1979-02-20
20 november 1994,1994-11-20
22 feb 2010,2010-02-22
friday august 15 1980,1980-08-15
sunday january 12 2003,2003-01-12
9 december 1979,1979-12-09
august 19 1984,1984-08-19
5/14/95,1995-05-14
1 january 1992,1992-01-01
sunday august 22 2004,2004-08-22
wednesday september 18 1974,1974-09-18
monday april 10 1989,1989-04-10
friday july 2 2004,2004-07-02
saturday january 2 1999,1999-01-02
friday march 3 2017,2017-03-03
tuesday september 8 1992,1992-09-08
monday february 25 2008,2008-02-25
saturday september 13 2003,2003-09-13
22 july 1972,1972-07-22
27 january 1980,1980-01-27
tuesday march 10 2009,2009-03-10
25 jun 1988,1988-06-25
26 july 2013,2013-07-26
may 18 1977,1977-05-18
tuesday march 1 2016,2016-03-01
23.01.93,1993-01-23
monday october 18 1971,1971-10-18
monday september 15 1986,1986-09-15
4 oct 2012,2012-10-04
11 march 2008,2008-03-11
monday january 5 1987,1987-01-05
thursday october 16 1986,1986-10-16
22 apr 1974,1974-04-22
28 apr 1976,1976-04-28
6/16/83,1983-06-16
wednesday february 4 2015,2015-02-04
19 oct 2008,2008-10-19
friday august 27 1976,1976-08-27
january 22 2004,2004-01-22
march 19 1970,1970-03-19
thursday october 24 1974,1974-10-24
tuesday march 17 1970,1970-03-17
19 08 04,2004-08-19
wednesday july 11 1990,1990-07-11
4 june 1994,1994-06-04
thursday october 4 1984,1984-10-04
july 1 1985,1985-07-01
wednesday january 14 1987,1987-01-14
wednesday july 28 1976,1976-07-28
tuesday november 7 1972,1972-11-07
21 jul 1972,1972-07-21
saturday january 17 1998,1998-01-17
thursday may 16 1996,1996-05-16
tuesday april 19 2005,2005-04-19
thursday march 4 2004,2004-03-04
11/4/76,1976-11-04
thursday november 4 1976,1976-11-04
tuesday february 20 1979,1979-02-20
25 oct 2013,2013-10-25
monday september 30 2002,2002-09-30
tuesday july 3 1979,1979-07-03
october 6 1988,1988-10-06
thursday september 27 2018,2018-09-27
friday december 29 1989,1989-12-29
tuesday june 11 1985,1985-06-11
saturday december 3 1977,1977-12-03
january 10 1986,1986-01-10
oct 3 2001,2001-10-03
09 oct 1987,1987-10-09
saturday june 16 1979,1979-06-16
december 29 1999,1999-12-29
thursday july 5 1979,1979-07-05
wednesday july 16 1980,1980-07-16
october 18 1987,1987-10-18
17 may 1972,1972-05-17
wednesday august 28 1985,1985-08-28
september 15 2010,2010-09-15
thursday september 19 2013,2013-09-19
7/15/76,1976-07-15
may 27 1988,1988-05-27
wednesday march 21 2012,2012-03-21
saturday december 11 1971,1971-12-11
thursday september 21 1978,1978-09-21
sunday june 24 1984,1984-06-24
march 3 2015,2015-03-03
monday august 9 2004,2004-08-09
jul 29 2002,2002-07-29
9 november 1981,1981-11-09
tuesday january 8 1991,1991-01-08
8/14/82,1982-08-14
18.02.96,1996-02-18
5 may 2007,2007-05-05
wednesday may 29 2002,2002-05-29
19 march 1991,1991-03-19
10 october 1999,1999-10-10
6 jun 1995,1995-06-06
friday october 16 1992,1992-10-16
9 02 76,1976-02-09
2 08 77,1977-08-02
27.05.91,1991-05-27
08.07.97,1997-07-08
sunday november 21 2004,2004-11-21
wednesday september 28 1988,1988-09-28
3 10 00,2000-10-03
saturday april 4 1981,1981-04-04
sunday october 7 2012,2012-10-07
wednesday august 4 1993,1993-08-04
wednesday september 24 1986,1986-09-24
22 may 2005,2005-05-22
31 oct 1996,1996-10-31
thursday october 29 1970,1970-10-29
thursday december 12 1985,1985-12-12
9 06 73,1973-06-09
march 22 1988,1988-03-22
05 jun 1975,1975-06-05
26 november 2009,2009-11-26
wednesday december 12 2018,2018-12-12
february 11 2018,2018-02-11
09 may 1974,1974-05-09
august 7 1979,1979-08-07
thursday april 9 1970,1970-04-09
11 nov 1996,1996-11-11
05.06.13,2013-06-05
wednesday april 18 1979,1979-04-18
thursday february 3 1977,1977-02-03
friday september 8 2000,2000-09-08
15 february 1978,1978-02-15
thursday december 20 2012,2012-12-20
7/18/07,2007-07-18
wednesday september 3 1980,1980-09-03
5 07 80,1980-07-05
thursday november 8 1990,1990-11-08
june 20 2004,2004-06-20
08 jan 1981,1981-01-08
1 february 2004,2004-02-01
23 february 2014,2014-02-23
oct 18 1998,1998-10-18
27 apr 1984,1984-04-27
friday december 17 1976,1976-12-17
november 8 1992,1992-11-08
jul 2 1981,1981-07-02
sunday december 18 1988,1988-12-18
friday february 15 1974,1974-02-15
monday july 1 1991,1991-07-01
16 feb 2016,2016-02-16
monday july 25 2011,2011-07-25
september 11 1999,1999-09-11
wednesday november 25 2009,2009-11-25
06.04.89,1989-04-06
tuesday july 12 2016,2016-07-12
8/20/97,1997-08-20
30 mar 1994,1994-03-30
wednesday may 27 1987,1987-05-27
5 march 2002,2002-03-05
saturday may 14 2005,2005-05-14
saturday june 27 1970,1970-06-27
9 jan 1991,1991-01-09
26 nov 2001,2001-11-26
monday december 19 2016,2016-12-19
monday may 19 1986,1986-05-19
wednesday december 15 1971,1971-12-15
saturday february 28 1987,1987-02-28
thursday february 20 2003,2003-02-20
2 sep 1988,1988-09-02
sunday february 14 1993,1993-02-14
10/22/75,1975-10-22
july 22 1970,1970-07-22
22 feb 2003,2003-02-22
wednesday march 28 2007,2007-03-28
02 aug 1977,1977-08-02
december 6 2012,2012-12-06
friday july 25 1980,1980-07-25
13 december 2006,2006-12-13
october 31 2010,2010-10-31
friday february 6 1981,1981-02-06
friday january 5 1996,1996-01-05
18 mar 1972,1972-03-18
17 feb 1973,1973-02-17
6 october 1974,1974-10-06
wednesday july 15 1998,1998-07-15
23 october 1971,1971-10-23
04.08.93,1993-08-04
tuesday february 11 2014,2014-02-11
april 30 2000,2000-04-30
wednesday september 2 1981,1981-09-02
tuesday january 20 2004,2004-01-20
monday december 16 1974,1974-12-16
12.06.09,2009-06-12
2 aug 1999,1999-08-02
13 aug 1996,1996-08-13
mar 31 2015,2015-03-31
5 september 2004,2004-09-05
12/7/09,2009-12-07
wednesday november 17 1999,1999-11-17
march 3 2018,2018-03-03
july 10 2017,2017-07-10
25 march 1989,1989-03-25
12 jun 1980,1980-06-12
friday july 13 2018,2018-07-13
17 03 16,2016-03-17
wednesday april 9 1975,1975-04-09
23 oct 2015,2015-10-23
wednesday march 11 2009,2009-03-11
monday august 18 1975,1975-08-18
monday january 24 1994,1994-01-24
29 may 1991,1991-05-29
22 03 08,2008-03-22
friday february 14 2003,2003-02-14
24 jun 2002,2002-06-24
12/2/00,2000-12-02
thursday march 8 1984,1984-03-08
sunday march 4 1973,1973-03-04
september 23 1989,1989-09-23
tuesday september 30 1980,1980-09-30
thursday july 20 1972,1972-07-20
friday november 8 1996,1996-11-08
wednesday january 15 2003,2003-01-15
wednesday june 24 1992,1992-06-24
1 january 1975,1975-01-01
06 feb 1971,1971-02-06
5 november 1980,1980-11-05
friday april 14 2006,2006-04-14
8 march 1982,1982-03-08
november 11 1987,1987-11-11
december 18 2010,2010-12-18
jan 2 2017,2017-01-02
friday april 16 2004,2004-04-16
august 28 1995,1995-08-28
may 2 1970,1970-05-02
19 aug 1992,1992-08-19
23 jun 1990,1990-06-23
14 january 1988,1988-01-14
8 november 1975,1975-11-08
tuesday november 25 1980,1980-11-25
sunday january 28 2018,2018-01-28
16 june 1970,1970-06-16
monday october 22 1984,1984-10-22
wednesday december 2 2009,2009-12-02
october 6 1971,1971-10-06
20 mar 2007,2007-03-20
may 6 2009,2009-05-06
10 apr 1979,1979-04-10
sunday april 16 1978,1978-04-16
tuesday september 5 1972,1972-09-05
wednesday january 22 1992,1992-01-22
april 5 1980,1980-04-05
may 9 1981,1981-05-09
22 october 2013,2013-10-22
friday june 27 1986,1986-06-27
november 14 2014,2014-11-14
friday march 6 2009,2009-03-06
30 october 2007,2007-10-30
6 january 2015,2015-01-06
12 apr 1984,1984-04-12
sunday july 25 1999,1999-07-25
10 sep 1973,1973-09-10
oct 2 1983,1983-10-02
monday february 12 1996,1996-02-12
7 11 89,1989-11-07
friday october 15 1976,1976-10-15
5 march 2014,2014-03-05
aug 8 1998,1998-08-08
10/13/92,1992-10-13
12/24/90,1990-12-24
november 7 1973,1973-11-07
23 august 2016,2016-08-23
thursday february 25 2016,2016-02-25
sunday march 4 1973,1973-03-04
monday december 24 2001,2001-12-24
10 jul 2008,2008-07-10
thursday may 5 1977,1977-05-05
1 oct 2012,2012-10-01
31 aug 1970,1970-08-31
saturday november 14 2015,2015-11-14
thursday november 16 2006,2006-11-16
28.09.02,2002-09-28
1 january 1993,1993-01-01
14 jan 1990,1990-01-14
may 17 1977,1977-05-17
2 may 1991,1991-05-02
6/29/08,2008-06-29
friday may 10 1996,1996-05-10
9 jul 2016,2016-07-09
monday january 7 1985,1985-01-07
4 november 2010,2010-11-04
6/18/74,1974-06-18
mar 3 1999,1999-03-03
sunday june 24 1973,1973-06-24
sunday may 30 1971,1971-05-30
monday september 25 2000,2000-09-25
24 december 1990,1990-12-24
14 nov 1984,1984-11-14
15 dec 2006,2006-12-15
04 feb 1986,1986-02-04
monday june 20 1988,1988-06-20
27 august 2018,2018-08-27
saturday july 29 1989,1989-07-29
saturday october 23 1999,1999-10-23
15 february 2005,2005-02-15
tuesday march 4 1980,1980-03-04
saturday may 28 1983,1983-05-28
12 december 1974,1974-12-12
thursday august 17 1978,1978-08-17
tuesday february 3 1987,1987-02-03
may 19 1998,1998-05-19
february 1 2018,2018-02-01
4 april 2011,2011-04-04
3 nov 1982,1982-11-03
tuesday april 16 1985,1985-04-16
thursday september 24 1992,1992-09-24
saturday june 1 1991,1991-06-01
january 29 2007,2007-01-29
friday may 22 2015,2015-05-22
17.07.91,1991-07-17
09 apr 1975,1975-04-09
29 12 77,1977-12-29
10 november 1977,1977-11-10
19 aug 1982,1982-08-19
tuesday october 25 1988,1988-10-25
thursday june 17 1993,1993-06-17
04 dec 1985,1985-12-04
1 october 1986,1986-10-01
5 may 2013,2013-05-05
21 sep 1972,1972-09-21
30 november 2013,2013-11-30
11/22/81,1981-11-22
tuesday february 24 1987,1987-02-24
4 november 1990,1990-11-04
thursday june 12 1997,1997-06-12
june 14 1989,1989-06-14
sunday april 6 1997,1997-04-06
24 may 1974,1974-05-24
4 dec 2004,2004-12-04
jan 26 1998,1998-01-26
22 04 03,2003-04-22
july 26 1998,1998-07-26
saturday december 2 2017,2017-12-02
20 jun 1994,1994-06-20
14 march 2011,2011-03-14
02.09.04,2004-09-02
january 13 1992,1992-01-13
january 14 1987,1987-01-14
november 6 1994,1994-11-06
april 15 2005,2005-04-15
monday july 3 2006,2006-07-03
monday june 13 1983,1983-06-13
feb 20 1998,1998-02-20
06.11.70,1970-11-06
march 2 2010,2010-03-02
19 jul 1976,1976-07-19
monday july 26 2010,2010-07-26
15 dec 1975,1975-12-15
january 10 1971,1971-01-10
friday december 21 2001,2001-12-21
tuesday january 21 1975,1975-01-21
may 3 1999,1999-05-03
03.05.17,2017-05-03
11 aug 1988,1988-08-11
7/4/95,1995-07-04
december 30 1990,1990-12-30
may 5 1971,1971-05-05
tuesday february 14 1995,1995-02-14
sunday july 21 2002,2002-07-21
10/14/77,1977-10-14
apr 13 1979,1979-04-13
19 oct 2002,2002-10-19
21 nov 2000,2000-11-21
friday january 19 1990,1990-01-19
wednesday april 19 2006,2006-04-19
27 december 1979,1979-12-27
tuesday november 10 1992,1992-11-10
friday april 12 1996,1996-04-12
25 jan 1996,1996-01-25
wednesday september 19 2012,2012-09-19
apr 16 1974,1974-04-16
monday january 25 2016,2016-01-25
wednesday august 12 1970,1970-08-12
wednesday january 18 2017,2017-01-18
wednesday april 26 1995,1995-04-26
12/12/09,2009-12-12
oct 16 2013,2013-10-16
july 27 2010,2010-07-27
19 aug 1973,1973-08-19
12/17/75,1975-12-17
30 jul 1971,1971-07-30
tuesday october 14 2008,2008-10-14
30 june 2016,2016-06-30
april 12 2013,2013-04-12
20 april 2004,2004-04-20
30.08.93,1993-08-30
march 18 2017,2017-03-18
31 may 1980,1980-05-31
14 august 2002,2002-08-14
12 june 2009,2009-06-12
friday april 25 1997,1997-04-25
12/1/89,1989-12-01
thursday january 13 1977,1977-01-13
4 sep 2000,2000-09-04
may 28 2015,2015-05-28
09 jun 1986,1986-06-09
23 may 1996,1996-05-23
1 11 82,1982-11-01
21 mar 1988,1988-03-21
october 6 2000,2000-10-06
21 sep 1989,1989-09-21
monday september 27 1999,1999-09-27
tuesday december 6 2016,2016-12-06
2 august 1993,1993-08-02
may 5 1992,1992-05-05
saturday january 22 2000,2000-01-22
friday december 7 2001,2001-12-07
monday april 4 1994,1994-04-04
saturday march 14 2009,2009-03-14
27 sep 1996,1996-09-27
29 feb 2008,2008-02-29
june 22 2002,2002-06-22
sep 7 2013,2013-09-07
monday november 14 2016,2016-11-14
2 apr 1995,1995-04-02
sunday november 4 2018,2018-11-04
27 12 11,2011-12-27
10/28/78,1978-10-28
sunday february 11 1973,1973-02-11
tuesday may 26 2015,2015-05-26
28.08.76,1976-08-28
monday august 23 2004,2004-08-23
18 oct 1991,1991-10-18
1 07 86,1986-07-01
april 19 1997,1997-04-19
28 january 1971,1971-01-28
16.09.89,1989-09-16
2/8/90,1990-02-08
wednesday august 19 1970,1970-08-19
16 02 97,1997-02-16
saturday october 1 2005,2005-10-01
17 apr 1983,1983-04-17
15 june 2010,2010-06-15
march 28 1996,1996-03-28
11 jan 2006,2006-01-11
1 oct 1976,1976-10-01
7 august 1975,1975-08-07
friday october 15 1976,1976-10-15
9/27/17,2017-09-27
saturday july 5 1997,1997-07-05
september 19 1984,1984-09-19
sep 14 1989,1989-09-14
10 05 70,1970-05-10
24 december 1999,1999-12-24
monday july 6 1998,1998-07-06
thursday january 14 1982,1982-01-14
december 23 1977,1977-12-23
31 december 1991,1991-12-31
january 30 1982,1982-01-30
may 20 2012,2012-05-20
31 jan 1997,1997-01-31
tuesday november 13 2018,2018-11-13
9/19/00,2000-09-19
18 jan 2000,2000-01-18
wednesday january 6 1971,1971-01-06
september 28 2003,2003-09-28
september 28 1981,1981-09-28
8/12/76,1976-08-12
21 july 2006,2006-07-21
monday september 9 1974,1974-09-09
7/8/02,2002-07-08
sunday may 8 1977,1977-05-08
friday january 27 2017,2017-01-27
saturday august 24 1991,1991-08-24
january 26 2004,2004-01-26
11 oct 2001,2001-10-11
16 oct 1991,1991-10-16
wednesday april 22 1970,1970-04-22
wednesday may 10 2017,2017-05-10
27.07.87,1987-07-27
22 dec 2015,2015-12-22
7 06 02,2002-06-07
24 february 2007,2007-02-24
tuesday may 8 2001,2001-05-08
friday october 11 1974,1974-10-11
15 february 1989,1989-02-15
friday november 2 1973,1973-11-02
monday february 19 1973,1973-02-19
thursday april 3 1997,1997-04-03
wednesday june 12 1985,1985-06-12
tuesday december 28 1982,1982-12-28
14 march 1998,1998-03-14
thursday december 28 1989,1989-12-28
10/11/90,1990-10-11
october 21 1973,1973-10-21
monday may 27 2013,2013-05-27
tuesday july 8 1975,1975-07-08
september 1 1978,1978-09-01
tuesday november 24 1992,1992-11-24
18 june 1995,1995-06-18
tuesday november 15 1988,1988-11-15
february 11 1972,1972-02-11
9 june 1991,1991-06-09
monday july 30 2018,2018-07-30
5 oct 2015,2015-10-05
saturday february 15 1975,1975-02-15
29 october 1998,1998-10-29
thursday september 5 1996,1996-09-05
05 sep 1978,1978-09-05
30 aug 1990,1990-08-30
09 jul 1973,1973-07-09
thursday may 5 1983,1983-05-05
sep 7 1979,1979-09-07
tuesday march 19 1996,1996-03-19
17 08 97,1997-08-17
friday december 1 1972,1972-12-01
may 27 2000,2000-05-27
apr 18 1998,1998-04-18
tuesday june 30 1987,1987-06-30
jul 12 1978,1978-07-12
25 september 1992,1992-09-25
saturday june 7 1986,1986-06-07
tuesday november 15 2011,2011-11-15
tuesday june 24 2014,2014-06-24
friday march 24 1995,1995-03-24
sunday april 11 1982,1982-04-11
monday september 26 1983,1983-09-26
friday may 1 2015,2015-05-01
23 jul 1993,1993-07-23
wednesday june 24 1970,1970-06-24
11 jan 1993,1993-01-11
monday december 7 2009,2009-12-07
may 29 1991,1991-05-29
saturday february 28 1970,1970-02-28
tuesday january 23 1996,1996-01-23
9 08 03,2003-08-09
16 october 2013,2013-10-16
09.01.11,2011-01-09
7/10/07,2007-07-10
july 28 1999,1999-07-28
thursday march 3 2016,2016-03-03
29 sep 2015,2015-09-29
21 march 1976,1976-03-21
saturday april 7 2018,2018-04-07
24 august 1975,1975-08-24
21 oct 2017,2017-10-21
18.08.76,1976-08-18
22 june 2016,2016-06-22
july 30 1982,1982-07-30
nov 23 2018,2018-11-23
9 11 79,1979-11-09
sunday may 28 2017,2017-05-28
jul 28 1981,1981-07-28
15 march 1980,1980-03-15
monday may 30 2005,2005-05-30
27 02 13,2013-02-27
18 november 2006,2006-11-18
friday december 30 2005,2005-12-30
tuesday june 22 1982,1982-06-22
20 jul 2014,2014-07-20
jun 14 2012,2012-06-14
wednesday january 9 2013,2013-01-09
monday october 25 1993,1993-10-25
11 june 2000,2000-06-11
01 aug 2015,2015-08-01
tuesday march 29 1994,1994-03-29
26 august 1987,1987-08-26
monday july 15 1974,1974-07-15
friday november 19 2010,2010-11-19
18 11 70,1970-11-18
11/3/07,2007-11-03
08.03.90,1990-03-08
28 dec 2007,2007-12-28
january 23 2018,2018-01-23
wednesday may 3 2017,2017-05-03
tuesday august 28 1973,1973-08-28
sunday november 3 2002,2002-11-03
friday february 28 1986,1986-02-28
tuesday july 7 1981,1981-07-07
23 feb 1990,1990-02-23
tuesday february 27 1973,1973-02-27
friday september 25 1987,1987-09-25
sunday march 10 1974,1974-03-10
22 aug 1991,1991-08-22
tuesday december 2 1975,1975-12-02
april 25 2002,2002-04-25
04 jul 1999,1999-07-04
23 apr 2005,2005-04-23
thursday december 17 1992,1992-12-17
6 september 1986,1986-09-06
7 october 1973,1973-10-07
17.02.75,1975-02-17
11 august 1977,1977-08-11
17 march 1992,1992-03-17
12 jul 2018,2018-07-12
2 june 2016,2016-06-02
tuesday october 30 1984,1984-10-30
september 22 2016,2016-09-22
saturday may 13 1995,1995-05-13
january 6 1971,1971-01-06
friday january 17 1975,1975-01-17
monday november 9 2009,2009-11-09
2 september 1982,1982-09-02
19 march 1987,1987-03-19
wednesday august 17 2005,2005-08-17
thursday november 11 1971,1971-11-11
may 18 2015,2015-05-18
01 apr 1987,1987-04-01
august 23 1972,1972-08-23
friday july 26 2013,2013-07-26
tuesday may 10 1983,1983-05-10
monday february 2 1976,1976-02-02
monday october 25 1982,1982-10-25
monday march 7 2011,2011-03-07
saturday september 8 1984,1984-09-08
31 october 1982,1982-10-31
thursday october 8 1998,1998-10-08
friday november 14 2008,2008-11-14
monday march 25 2002,2002-03-25
sunday march 14 1971,1971-03-14
monday july 14 1986,1986-07-14
6/15/82,1982-06-15
12/28/71,1971-12-28
25 january 2009,2009-01-25
19 mar 1973,1973-03-19
18 apr 1997,1997-04-18
monday october 31 2011,2011-10-31
27 aug 2001,2001-08-27
monday july 10 2006,2006-07-10
friday march 13 1998,1998-03-13
